instance,algorithm,best_value,exec_time,memory_bytes,relative_error,n_items_real,capacity_real
knapPI_3_1000_1000_1,Branch and Bound Algorithm,,,,,1000,4990
knapPI_3_1000_1000_1,FPTAS Algorithm (ε=0.8),,,,,1000,4990
knapPI_3_1000_1000_1,FPTAS Algorithm (ε=0.5),,,,,1000,4990
knapPI_3_1000_1000_1,FPTAS Algorithm (ε=0.1),,,,,1000,4990
knapPI_3_1000_1000_1,Two Approx Algorithm,14374.0,0.07,72.0,0.0011,1000,4990
knapPI_2_10000_1000_1,Branch and Bound Algorithm,,,,,10000,49877
knapPI_2_10000_1000_1,FPTAS Algorithm (ε=0.8),,,,,10000,49877
knapPI_2_10000_1000_1,FPTAS Algorithm (ε=0.5),,,,,10000,49877
knapPI_2_10000_1000_1,FPTAS Algorithm (ε=0.1),,,,,10000,49877
knapPI_2_10000_1000_1,Two Approx Algorithm,90200.0,2.7851,72.0,0.0,10000,49877
knapPI_2_200_1000_1,Branch and Bound Algorithm,1634.0,0.5465,6576.0,0.0,200,1008
knapPI_2_200_1000_1,FPTAS Algorithm (ε=0.8),1619.352,5.9581,574656.0,0.009,200,1008
knapPI_2_200_1000_1,FPTAS Algorithm (ε=0.5),1622.565,10.1984,920880.0,0.007,200,1008
knapPI_2_200_1000_1,FPTAS Algorithm (ε=0.1),1631.6685,34.3029,4613928.0,0.0014,200,1008
knapPI_2_200_1000_1,Two Approx Algorithm,1604.0,0.0001,72.0,0.0184,200,1008
knapPI_2_500_1000_1,Branch and Bound Algorithm,4566.0,46.5634,138384.0,0.0,500,2543
knapPI_2_500_1000_1,FPTAS Algorithm (ε=0.8),4543.4496,67.5745,3602040.0,0.0049,500,2543
knapPI_2_500_1000_1,FPTAS Algorithm (ε=0.5),4551.612,89.6811,5766288.0,0.0032,500,2543
knapPI_2_500_1000_1,FPTAS Algorithm (ε=0.1),4562.7816,200.1981,28856112.0,0.0007,500,2543
knapPI_2_500_1000_1,Two Approx Algorithm,4552.0,0.0003,72.0,0.0031,500,2543
knapPI_1_2000_1000_1,Branch and Bound Algorithm,110625.0,415.3066,1187568.0,0.0,2000,10011
knapPI_1_2000_1000_1,FPTAS Algorithm (ε=0.8),,,,,2000,10011
knapPI_1_2000_1000_1,FPTAS Algorithm (ε=0.5),,,,,2000,10011
knapPI_1_2000_1000_1,FPTAS Algorithm (ε=0.1),,,,,2000,10011
knapPI_1_2000_1000_1,Two Approx Algorithm,110547.0,0.2674,72.0,0.0007,2000,10011
knapPI_2_5000_1000_1,Branch and Bound Algorithm,44356.0,1481.2707,3473424.0,0.0,5000,25016
knapPI_2_5000_1000_1,FPTAS Algorithm (ε=0.8),,,,,5000,25016
knapPI_2_5000_1000_1,FPTAS Algorithm (ε=0.5),,,,,5000,25016
knapPI_2_5000_1000_1,FPTAS Algorithm (ε=0.1),,,,,5000,25016
knapPI_2_5000_1000_1,Two Approx Algorithm,44351.0,0.9593,72.0,0.0001,5000,25016
knapPI_3_2000_1000_1,Branch and Bound Algorithm,,,,,2000,9819
knapPI_3_2000_1000_1,FPTAS Algorithm (ε=0.8),,,,,2000,9819
knapPI_3_2000_1000_1,FPTAS Algorithm (ε=0.5),,,,,2000,9819
knapPI_3_2000_1000_1,FPTAS Algorithm (ε=0.1),,,,,2000,9819
